feature_1, feature_2, feature_3, feature_4, feature_5, class
1, 1, 1, 1, 0, 1
1, 1, 1, 1, 1, 1
0, 0, 1, 0, 0, 0
0, 0, 1, 1, 0, 1
1, 1, 0, 1, 1, 1
0, 1, 1, 0, 0, 1
0, 0, 0, 0, 1, 1
0, 0, 0, 1, 0, 0
1, 1, 1, 0, 1, 1
0, 0, 1, 1, 1, 1
1, 1, 0, 0, 0, 1
1, 0, 1, 0, 1, 1
1, 1, 0, 0, 1, 1
1, 0, 1, 1, 0, 1
0, 0, 0, 1, 1, 1
0, 1, 1, 1, 1, 1
0, 1, 0, 1, 0, 1
0, 0, 1, 0, 1, 1
0, 1, 0, 0, 0, 1
0, 1, 0, 1, 1, 1
1, 0, 0, 1, 1, 1
1, 0, 0, 1, 0, 1
1, 1, 1, 0, 0, 1
0, 1, 1, 1, 0, 1
0, 1, 0, 0, 1, 1
1, 1, 0, 1, 0, 1
0, 1, 1, 0, 1, 1
1, 0, 1, 1, 1, 1
1, 0, 1, 0, 0, 1
1, 0, 0, 0, 1, 1
0, 0, 0, 0, 0, 0
1, 0, 0, 0, 0, 1
