installed_BHO, modified_register, file_type_executable, created_new_folder, created_new_files, modified_toolbar, affected_windows_os, runs_when_windows_os_starts, class
1, 1, 0, 0, 1, 0, 0, 0, 0
0, 1, 0, 0, 0, 0, 1, 1, 1
1, 0, 1, 1, 1, 1, 1, 1, 1
0, 0, 1, 1, 1, 0, 1, 1, 1
0, 1, 0, 0, 1, 0, 0, 1, 0
0, 1, 0, 1, 1, 1, 0, 1, 0
0, 0, 0, 0, 0, 0, 0, 1, 0
0, 0, 0, 0, 0, 1, 1, 1, 1
0, 1, 0, 1, 1, 0, 0, 0, 0
1, 1, 1, 0, 1, 1, 0, 1, 0
1, 0, 1, 1, 0, 1, 1, 0, 1
1, 0, 1, 1, 1, 1, 0, 1, 0
0, 1, 0, 1, 1, 0, 1, 1, 1
0, 1, 0, 0, 1, 1, 0, 0, 0
1, 0, 1, 1, 0, 0, 1, 0, 1
1, 0, 1, 0, 0, 1, 1, 0, 1
0, 1, 0, 1, 0, 1, 1, 1, 1
1, 0, 0, 0, 1, 0, 1, 1, 1
0, 0, 1, 1, 0, 0, 1, 0, 0
0, 0, 1, 1, 1, 0, 1, 0, 0
0, 0, 0, 1, 0, 0, 1, 1, 1
0, 1, 0, 0, 1, 0, 1, 0, 0
1, 0, 1, 0, 1, 1, 1, 1, 1
1, 0, 1, 1, 0, 0, 0, 1, 0
1, 0, 0, 0, 1, 0, 0, 0, 0
0, 1, 0, 0, 0, 1, 1, 0, 0
1, 1, 1, 0, 0, 1, 1, 0, 1
0, 0, 0, 1, 1, 1, 1, 0, 0
1, 1, 0, 1, 1, 1, 0, 1, 0
0, 1, 1, 0, 0, 0, 1, 1, 1
1, 1, 1, 1, 1, 1, 0, 0, 0
1, 1, 0, 1, 1, 0, 1, 1, 1
0, 0, 0, 0, 1, 0, 0, 1, 0
0, 1, 0, 1, 0, 1, 0, 1, 0
1, 0, 0, 0, 0, 1, 0, 0, 0
0, 0, 0, 1, 0, 1, 1, 1, 1
0, 0, 0, 0, 0, 1, 1, 0, 0
0, 1, 0, 0, 0, 0, 1, 0, 0
1, 1, 0, 1, 0, 0, 1, 1, 1
0, 1, 1, 1, 0, 1, 0, 1, 0
1, 0, 0, 0, 0, 0, 1, 0, 0
0, 0, 1, 0, 0, 0, 0, 0, 0
1, 1, 1, 1, 1, 0, 0, 0, 0
0, 1, 1, 0, 1, 0, 0, 1, 0
1, 1, 0, 1, 0, 1, 0, 1, 0
1, 0, 0, 0, 0, 1, 1, 0, 0
0, 1, 0, 1, 0, 1, 0, 0, 0
1, 1, 1, 1, 1, 1, 0, 1, 0
0, 0, 1, 1, 0, 1, 1, 1, 1
0, 0, 1, 0, 1, 1, 0, 1, 0
0, 1, 0, 0, 0, 0, 0, 1, 0
1, 0, 0, 0, 0, 0, 0, 1, 0
1, 1, 1, 1, 0, 1, 0, 0, 0
1, 0, 0, 1, 0, 1, 1, 0, 0
1, 1, 0, 0, 0, 0, 1, 0, 0
1, 1, 1, 0, 1, 0, 0, 1, 0
1, 0, 0, 0, 1, 1, 0, 0, 0
1, 0, 1, 1, 1, 0, 1, 0, 1
1, 1, 1, 1, 1, 1, 1, 1, 1
1, 1, 1, 0, 0, 1, 1, 1, 1
0, 0, 0, 1, 0, 1, 0, 1, 0
0, 0, 0, 0, 1, 1, 1, 1, 1
0, 1, 1, 0, 1, 1, 0, 0, 0
0, 1, 0, 1, 1, 1, 1, 1, 1
0, 1, 0, 0, 0, 1, 0, 1, 0
1, 0, 0, 0, 0, 0, 1, 1, 1
0, 0, 0, 1, 1, 0, 1, 0, 0
0, 1, 1, 1, 1, 0, 0, 0, 0
0, 0, 0, 1, 1, 0, 0, 0, 0
1, 1, 1, 0, 0, 0, 1, 1, 1
